Component: 1,3-beta-D-glucan synthase complex/148	/GSC2/YGR032W/S000003264/ORF|Verified/|/FKS1/YLR342W/S000004334/ORF|Verified/|/RHO1/YPR165W/S000006369/ORF|Verified/
Component: 6-phosphofructokinase complex/5945	/PFK1/YGR240C/S000003472/ORF|Verified/|/PFK2/YMR205C/S000004818/ORF|Verified/
Component: 90S preribosome/30686	/UTP20/YBL004W/S000000100/ORF|Verified/|/RPS8A/YBL072C/S000000168/ORF|Verified/|/RPS11B/YBR048W/S000000252/ORF|Verified/|/RPS9B/YBR189W/S000000393/ORF|Verified/|/ENP1/YBR247C/S000000451/ORF|Verified/|/RRP7/YCL031C/S000000536/ORF|Verified/|/KRR1/YCL059C/S000000564/ORF|Verified/|/RPS14A/YCR031C/S000000627/ORF|Verified/|/PWP2/YCR057C/S000000653/ORF|Verified/|/NOP1/YDL014W/S000002172/ORF|Verified/|/TSR1/YDL060W/S000002218/ORF|Verified/|/NOP14/YDL148C/S000002307/ORF|Verified/|/NOP6/YDL213C/S000002372/ORF|Verified/|/RPS11A/YDR025W/S000002432/ORF|Verified/|/MAK21/YDR060W/S000002467/ORF|Verified/|/RPS13/YDR064W/S000002471/ORF|Verified/|/BFR2/YDR299W/S000002707/ORF|Verified/|/UTP4/YDR324C/S000002732/ORF|Verified/|/UTP6/YDR449C/S000002857/ORF|Verified/|/UTP7/YER082C/S000000884/ORF|Verified/|/RPS8B/YER102W/S000000904/ORF|Verified/|/SPB4/YFL002C/S000001894/ORF|Verified/|/CKB1/YGL019W/S000002987/ORF|Verified/|/PRP43/YGL120C/S000003088/ORF|Verified/|/ROK1/YGL171W/S000003139/ORF|Verified/|/SLX9/YGR081C/S000003313/ORF|Verified/|/UTP22/YGR090W/S000003322/ORF|Verified/|/NOP7/YGR103W/S000003335/ORF|Verified/|/UTP8/YGR128C/S000003360/ORF|Verified/|/ENP2/YGR145W/S000003377/ORF|Verified/|/RPS0A/YGR214W/S000003446/ORF|Verified/|/NOP19/YGR251W/S000003483/ORF|Verified/|/IMP3/YHR148W/S000001191/ORF|Verified/|/DBP8/YHR169W/S000001212/ORF|Verified/|/UTP9/YHR196W/S000001239/ORF|Verified/|/RPS4B/YHR203C/S000001246/ORF|Verified/|/CKA1/YIL035C/S000001297/ORF|Verified/|/NOP9/YJL010C/S000003547/ORF|Verified/|/UTP18/YJL069C/S000003605/ORF|Verified/|/UTP10/YJL109C/S000003645/ORF|Verified/|/MPP10/YJR002W/S000003762/ORF|Verified/|/RPS5/YJR123W/S000003884/ORF|Verified/|/RPS4A/YJR145C/S000003906/ORF|Verified/|/UTP30/YKR060W/S000001768/ORF|Verified/|/SOF1/YLL011W/S000003934/ORF|Verified/|/CMS1/YLR003C/S000003993/ORF|Verified/|/DIP2/YLR129W/S000004119/ORF|Verified/|/CBF5/YLR175W/S000004165/ORF|Verified/|/EMG1/YLR186W/S000004176/ORF|Verified/|/NOP56/YLR197W/S000004187/ORF|Verified/|/UTP13/YLR222C/S000004212/ORF|Verified/|/RPP0/YLR340W/S000004332/ORF|Verified/|/UTP21/YLR409C/S000004401/ORF|Verified/|/RPS1A/YLR441C/S000004433/ORF|Verified/|/RPS1B/YML063W/S000004528/ORF|Verified/|/BUD22/YMR014W/S000004616/ORF|Verified/|/ERB1/YMR049C/S000004652/ORF|Verified/|/UTP15/YMR093W/S000004699/ORF|Verified/|/ECM16/YMR128W/S000004735/ORF|Verified/|/RPS16A/YMR143W/S000004751/ORF|Verified/|/RRP5/YMR229C/S000004842/ORF|Verified/|/HAS1/YMR290C/S000004903/ORF|Verified/|/IMP4/YNL075W/S000005019/ORF|Verified/|/KRE33/YNL132W/S000005076/ORF|Verified/|/RPS3/YNL178W/S000005122/ORF|Verified/|/SQS1/YNL224C/S000005168/ORF|Verified/|/KRI1/YNL308C/S000005252/ORF|Verified/|/ESF2/YNR054C/S000005337/ORF|Verified/|/RCL1/YOL010W/S000005370/ORF|Verified/|/CKB2/YOR039W/S000005565/ORF|Verified/|/CKA2/YOR061W/S000005587/ORF|Verified/|/BUD21/YOR078W/S000005604/ORF|Verified/|/RPS7A/YOR096W/S000005622/ORF|Verified/|/PNO1/YOR145C/S000005671/ORF|Verified/|/NOC2/YOR206W/S000005732/ORF|Verified/|/YTM1/YOR272W/S000005798/ORF|Verified/|/RRP36/YOR287C/S000005813/ORF|Verified/|/NOP58/YOR310C/S000005837/ORF|Verified/|/RRP12/YPL012W/S000005933/ORF|Verified/|/RPS9A/YPL081W/S000006002/ORF|Verified/|/RPS6A/YPL090C/S000006011/ORF|Verified/|/NAN1/YPL126W/S000006047/ORF|Verified/|/BMS1/YPL217C/S000006138/ORF|Verified/|/DIM1/YPL266W/S000006187/ORF|Verified/|/MRD1/YPR112C/S000006316/ORF|Verified/|/RRP9/YPR137W/S000006341/ORF|Verified/|/NOC4/YPR144C/S000006348/ORF|Verified/|/SNR17A/snR17a/S000007294/snoRNA_gene/|/SNR17B/snR17b/S000007441/snoRNA_gene/
Component: AMP-activated protein kinase complex/31588	/SIP1/YDR422C/S000002830/ORF|Verified/|/SNF1/YDR477W/S000002885/ORF|Verified/|/GAL83/YER027C/S000000829/ORF|Verified/|/SNF4/YGL115W/S000003083/ORF|Verified/|/SIP2/YGL208W/S000003176/ORF|Verified/
Component: AP-1 adaptor complex/30121	/APM2/YHL019C/S000001011/ORF|Verified/|/LAA1/YJL207C/S000003743/ORF|Verified/|/APL2/YKL135C/S000001618/ORF|Verified/|/APS1/YLR170C/S000004160/ORF|Verified/|/APM1/YPL259C/S000006180/ORF|Verified/|/APL4/YPR029C/S000006233/ORF|Verified/
Component: AP-2 adaptor complex/30122	/APL3/YBL037W/S000000133/ORF|Verified/|/APL1/YJR005W/S000003765/ORF|Verified/|/APS2/YJR058C/S000003819/ORF|Verified/|/APM4/YOL062C/S000005423/ORF|Verified/
Component: AP-3 adaptor complex/30123	/APM3/YBR288C/S000000492/ORF|Verified/|/APL6/YGR261C/S000003493/ORF|Verified/|/APS3/YJL024C/S000003561/ORF|Verified/|/APL5/YPL195W/S000006116/ORF|Verified/
Component: ASTRA complex/70209	/RVB1/YDR190C/S000002598/ORF|Verified/|/TEL2/YGR099W/S000003331/ORF|Verified/|/TRA1/YHR099W/S000001141/ORF|Verified/|/TTI2/YJR136C/S000003897/ORF|Verified/|/TTI1/YKL033W/S000001516/ORF|Verified/|/RVB2/YPL235W/S000006156/ORF|Verified/|/ASA1/YPR085C/S000006289/ORF|Verified/
Component: ATG1/UKL1 signaling complex/34273	/ATG1/YGL180W/S000003148/ORF|Verified/|/ATG17/YLR423C/S000004415/ORF|Verified/|/ATG13/YPR185W/S000006389/ORF|Verified/
Component: Ada2/Gcn5/Ada3 transcription activator complex/5671	/SGF29/YCL010C/S000000516/ORF|Verified/|/AHC2/YCR082W/S000000678/ORF|Verified/|/NGG1/YDR176W/S000002583/ORF|Verified/|/ADA2/YDR448W/S000002856/ORF|Verified/|/GCN5/YGR252W/S000003484/ORF|Verified/|/AHC1/YOR023C/S000005549/ORF|Verified/|/HFI1/YPL254W/S000006175/ORF|Verified/
